# NER词典 - 从生产数据库自动生成
# 格式: word	LABEL (BRAND/CATEGORY/MODIFIER/ATTRIBUTE)
# 品牌: 54911 条 | 品类: 10918 条 | 属性: 77370 条 | 修饰词: 31 条
# 总计: 96244 条

红鸟	BRAND
Red Bird	BRAND
江小白	BRAND
汾酒	BRAND
菲力斯	BRAND
FELIX	BRAND
VSGO	BRAND
雙衛士	BRAND
菠萝君	BRAND
Pi Roller	BRAND
药都仁和	BRAND
夸克	BRAND
KUAKE	BRAND
欧诗漫	BRAND
OSM	BRAND
北极星	BRAND
POLARIS	BRAND
菊花白	BRAND
优勤	BRAND
YOUQIN	BRAND
千宠世家	BRAND
优尚生活家	BRAND
帝王	BRAND
雨航	BRAND
YUHANG	BRAND
螺霸王	BRAND
安思尔	BRAND
凯普世	BRAND
纤丝鸟	BRAND
TINSINO	BRAND
芭菲	BRAND
艾茉森	BRAND
Amason	BRAND
沐凡	BRAND
mufan	BRAND
茅台	BRAND
MAOTAI	BRAND
美城	BRAND
赛凯	BRAND
SAIKAI	BRAND
安普里奥·阿玛尼	BRAND
Emporio Armani	BRAND
Quark	BRAND
瞭望者	BRAND
椰来香	BRAND
SUPERCOCO	BRAND
圣手	BRAND
薇婷	BRAND
VEET	BRAND
TFO	BRAND
正新轮胎	BRAND
赫古	BRAND
HEGU	BRAND
文曲星	BRAND
WQX	BRAND
施丹兰	BRAND
STENDERS	BRAND
小红帽	BRAND
Rotkappchen	BRAND
过凡	BRAND
GUOFAN	BRAND
八享时	BRAND
Favor8time	BRAND
UFC	BRAND
ZOXNJAY	BRAND
曼龙	BRAND
东方红	BRAND
DONGFANGHONG	BRAND
elleair	BRAND
伟力通	BRAND
Victon	BRAND
喜之郎	BRAND
品尼高	BRAND
川奈良品	BRAND
安琪	BRAND
Angel	BRAND
纷赋	BRAND
爸爸妈妈	BRAND
babamama	BRAND
七色花	BRAND
小能人	BRAND
soulor	BRAND
启功	BRAND
洁客	BRAND
维他奶	BRAND
vitasoy	BRAND
冰阳	BRAND
sunice	BRAND
RND	BRAND
华德安	BRAND
HUADEAN	BRAND
访客	BRAND
FK	BRAND
洁西	BRAND
JESSIE	BRAND
西铁城	BRAND
CITIZEN	BRAND
芳芯	BRAND
femfresh	BRAND
克林莱	BRAND
邮花	BRAND
督威	BRAND
DuveL	BRAND
福事多	BRAND
悦谷百味	BRAND
DEHE.YGBW	BRAND
Eau Precieuse	BRAND
联丰	BRAND
LIANFENG	BRAND
雅得	BRAND
ATTOP TOYS	BRAND
峰米	BRAND
西部数据	BRAND
WD	BRAND
风筝	BRAND
FaSoLa	BRAND
本田	BRAND
HONDA	BRAND
塔牌	BRAND
云筑	BRAND
福孩儿	BRAND
嘉士伯	BRAND
AFI	BRAND
集暖	BRAND
JINUAN	BRAND
碧柔	BRAND
Biore	BRAND
恒锋工具	BRAND
EST	BRAND
工蜂	BRAND
WORKERBEE	BRAND
美洲狮	BRAND
COUGAR	BRAND
嘉士利	BRAND
波力	BRAND
POLI	BRAND
迎驾贡酒	BRAND
YJGJ	BRAND
九洲鹿	BRAND
冰王	BRAND
泰诺健	BRAND
Technogym	BRAND
妙芙谜	BRAND
