# RaNER 原始实体类型	项目实体类型
产品_修饰产品	MODIFIER
产品_其他	PRODUCT
产品_核心产品	CATEGORY
人名_其他	PERSON
人名_真实人名	PERSON
人名_虚拟角色	PERSON
使用方式_安装方式	ATTRIBUTE
使用方式_穿着方式	ATTRIBUTE
使用方法_其他	ATTRIBUTE
修饰_产品属性	MODIFIER
修饰_其他	MODIFIER
修饰_口味	MODIFIER
修饰_外观描述	MODIFIER
修饰_工作方式	MODIFIER
修饰_评价体验	MODIFIER
功能功效	FUNCTION
品牌	BRAND
地点地域_产地	REGION
地点地域_其他	REGION
地点地域_发货地	REGION
地点地域_商标产地	REGION
地点地域_适用地区	REGION
型号	MODEL
尺寸规格_其他	SPEC
尺寸规格_售卖规格	SPEC
尺寸规格_外观尺寸	SPEC
尺寸规格_指标参数	SPEC
尺寸规格_重量	SPEC
工艺	ATTRIBUTE
文化作品_书名	ATTRIBUTE
文化作品_其他	ATTRIBUTE
文化作品_影视名称	ATTRIBUTE
文化作品_游戏名称	ATTRIBUTE
材质_其他	MATERIAL
材质_木质材质	MATERIAL
材质_金属材质	MATERIAL
材质_面料	MATERIAL
款式_其他	STYLE
款式_厚薄	STYLE
款式_流行元素	STYLE
款式_袖型	STYLE
款式_裙型	STYLE
款式_裤型	STYLE
款式_鞋型	STYLE
款式_领型	STYLE
系列	SERIES
组织机构	ORGANIZATION
适用范围_其他	ATTRIBUTE
适用范围_适用人群	AUDIENCE
适用范围_适用场景	SCENE
适用范围_适用季节	ATTRIBUTE
适用范围_适用对象	AUDIENCE
颜色_其他	COLOR
颜色_色彩	COLOR
颜色_配色方案	COLOR
风格	STYLE
